accuracy,adversarial,avg_agreement_rate,avg_cost_usd,avg_dissent_rate,avg_exposure_density,avg_mean_exposure_load,avg_tokens_in,avg_tokens_out,brier_score,ccs,ccs_corrections,ccs_opportunities,chs,chs_harms,chs_opportunities,config,dataset,ece,method,model,n,output_dir,pci,pci_contaminated_switches,pci_exposed_switches,pds,run_type,seed,variant,wcr
0.08,False,0.55125,0.0,0.44875,0.03464285714285714,0.2425,1087.89,785.5,0.4146675227652812,0.11666666666666667,21.0,180.0,0.7142857142857143,10.0,14.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.5502078337835061,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.06779661016949153,12.0,177.0,0.9123711340206185,main,42,all_methods,0.1
0.08,False,0.51125,0.0,0.48875,0.03732142857142857,0.26125,1224.89,940.71,0.3332576208590456,0.031413612565445025,6.0,191.0,0.6111111111111112,11.0,18.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.5011711153248691,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.11049723756906077,20.0,181.0,0.8660287081339713,main,42,all_methods,0.14
0.54,False,0.71875,0.0,0.28125,0.040178571428571425,0.28125,1062.68,455.76,0.32426700514671647,0.2689075630252101,32.0,119.0,0.5566037735849056,59.0,106.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.2554222784699153,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1037037037037037,14.0,135.0,0.6,main,42,all_methods,0.22
0.44,False,0.79,0.0,0.21,0.03625,0.25375,2559.45,687.36,0.4310904652078289,0.23893805309734514,27.0,113.0,0.6,54.0,90.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.41160109638688,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.07207207207207207,8.0,111.0,0.5467980295566502,main,42,all_methods,0.36
0.26,False,0.68625,0.0,0.31375,0.039285714285714285,0.275,2188.58,724.47,0.4101441029631958,0.14545454545454545,24.0,165.0,0.509090909090909,28.0,55.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.49147500596778515,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.2978723404255319,42.0,141.0,0.6409090909090909,main,42,all_methods,0.35
0.5,False,0.82,0.0,0.18,0.035,0.245,753.74,374.08,0.42082072715488394,0.5051546391752577,49.0,97.0,0.5252525252525253,52.0,99.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.39807353856516986,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.09803921568627451,10.0,102.0,0.5204081632653061,main,42,all_methods,0.37
0.67,False,0.75125,0.0,0.24875,0.03839285714285714,0.26875,1155.59,344.02,0.23021068225923658,0.3411764705882353,29.0,85.0,0.43846153846153846,57.0,130.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.22713146692129266,cider_full,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.026785714285714284,3.0,112.0,0.5209302325581395,main,42,all_methods,0.12
0.0,False,0.375,0.0,0.625,0.09107142857142857,0.6375,1837.2,1411.4,0.22199645516339112,0.0,0.0,75.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.4297767370354819,cider_full_tuned,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.16923076923076924,11.0,65.0,0.8666666666666667,main,42,all_methods,0.1
0.07,False,0.45375,0.0,0.54625,0.08839285714285713,0.61875,1419.6,776.6,0.3206413241962047,0.16467065868263472,55.0,334.0,0.7096774193548387,22.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.488235505022423,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.0736196319018405,24.0,326.0,0.8931506849315068,main,42,all_methods,0.09
0.08,False,0.46875,0.0,0.53125,0.09017857142857143,0.63125,1539.5,912.64,0.2933887730289781,0.04216867469879518,14.0,332.0,0.5161290322580645,16.0,31.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.46359955927403906,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.19322033898305085,57.0,295.0,0.8126721763085399,main,42,all_methods,0.15
0.53,False,0.68,0.0,0.32,0.09232142857142858,0.64625,1319.98,461.8,0.31512716825189846,0.20512820512820512,40.0,195.0,0.4497354497354497,85.0,189.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.24140245220903,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.13297872340425532,25.0,188.0,0.4895833333333333,main,42,all_methods,0.33
0.43,False,0.75,0.0,0.25,0.08892857142857143,0.6225,2856.61,679.17,0.42031450106300616,0.2304147465437788,50.0,217.0,0.44970414201183434,76.0,169.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.40415386224299954,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1130952380952381,19.0,168.0,0.43523316062176165,main,42,all_methods,0.44
0.27,False,0.64375,0.0,0.35625,0.0919642857142857,0.64375,2476.41,680.45,0.3817319052272653,0.13503649635036497,37.0,274.0,0.46226415094339623,49.0,106.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.4467064738811431,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.25806451612903225,56.0,217.0,0.5710526315789474,main,42,all_methods,0.41
0.49,False,0.8075,0.0,0.1925,0.08714285714285713,0.61,993.79,374.16,0.42187320934460665,0.32978723404255317,62.0,188.0,0.34183673469387754,67.0,196.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.4098198944886379,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.13178294573643412,17.0,129.0,0.3359375,main,42,all_methods,0.37
0.68,False,0.68,0.0,0.32,0.08982142857142858,0.62875,1372.99,355.05,0.21515105015894226,0.3356164383561644,49.0,146.0,0.4340425531914894,102.0,235.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.15871541474304846,cider_full_tuned,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.031914893617021274,6.0,188.0,0.49343832020997375,main,42,all_methods,0.25
0.0,False,0.3701388888888889,0.0,0.6298611111111111,0.06805555555555556,0.5444444444444445,1666.2,1499.1,0.19700903375035336,0.0,0.0,42.0,0.0,0.0,0.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,aime2024,0.40732216845841546,cider_sota,mistral:latest,20,outputs/a100_full_v10/main/mistral_latest/seed_42,0.16666666666666666,6.0,36.0,0.8571428571428571,main,42,all_methods,0.05
0.08,False,0.5525,0.0,0.4475,0.041388888888888885,0.3311111111111111,1139.58,800.93,0.37642471283231677,0.11666666666666667,21.0,180.0,0.7142857142857143,10.0,14.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,gsm8k,0.5202458450970044,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.06779661016949153,12.0,177.0,0.9123711340206185,main,42,all_methods,0.1
0.08,False,0.5111111111111112,0.0,0.4888888888888889,0.03902777777777778,0.31222222222222223,1260.43,948.88,0.312753801408222,0.031413612565445025,6.0,191.0,0.6111111111111112,11.0,18.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,math500,0.4845134190549813,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.11049723756906077,20.0,181.0,0.8660287081339713,main,42,all_methods,0.14
0.54,False,0.7191666666666667,0.0,0.2808333333333333,0.035694444444444445,0.28555555555555556,1077.29,456.88,0.3127451849714513,0.2689075630252101,32.0,119.0,0.5566037735849056,59.0,106.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medmcqa,0.23422617026476705,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.1037037037037037,14.0,135.0,0.6,main,42,all_methods,0.22
0.44,False,0.7911111111111111,0.0,0.2088888888888889,0.030416666666666665,0.24333333333333332,2570.64,689.35,0.4193983743704197,0.23893805309734514,27.0,113.0,0.6,54.0,90.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,medqa,0.3955063336017835,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.07207207207207207,8.0,111.0,0.5467980295566502,main,42,all_methods,0.36
0.26,False,0.6893055555555556,0.0,0.31069444444444444,0.036111111111111115,0.2888888888888889,2214.39,728.73,0.3862162674296006,0.14545454545454545,24.0,165.0,0.509090909090909,28.0,55.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,mmlu_pro,0.4693136399849648,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.2978723404255319,42.0,141.0,0.6409090909090909,main,42,all_methods,0.35
0.49,False,0.8211111111111111,0.0,0.1788888888888889,0.029444444444444443,0.23555555555555555,761.11,374.62,0.4060841737657116,0.5051546391752577,49.0,97.0,0.5252525252525253,52.0,99.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,strategyqa,0.39237736854249383,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.09803921568627451,10.0,102.0,0.5204081632653061,main,42,all_methods,0.37
0.65,False,0.7530555555555556,0.0,0.24694444444444444,0.03319444444444444,0.26555555555555554,1166.68,345.09,0.21905199731348862,0.3411764705882353,29.0,85.0,0.43846153846153846,57.0,130.0,outputs/a100_full_v10/configs/main/mistral_latest/seed_42.yaml,truthfulqa_mc,0.16462852085559243,cider_sota,mistral:latest,100,outputs/a100_full_v10/main/mistral_latest/seed_42,0.026785714285714284,3.0,112.0,0.5209302325581395,main,42,all_methods,0.12
